Contracts,Order No.,Transaction Time(UTC+0),Leverage,Direction,Order Type,Filled Type,Filled Qty,Filled Price,Order Price,Trading Fee Rate,Fees Paid,Transaction ID
THETAUSDT,f1132816,2022-06-26 23:05:41,10,Close Short,Market,Trade,536.4,1.368,Market,0.0006,0.44027712,0bfa38c2
THETAUSDT,f1132816,2022-06-26 23:05:41,10,Close Short,Market,Trade,164.4,1.368,Market,0.0006,0.13493952,8e1b14f5
THETAUSDT,ed63b4f0,2022-06-26 22:26:58,10,Open Short,Market,Trade,1,1.358,Market,0.0006,0.0008148,13d0d657
THETAUSDT,5fb7c4ee,2022-06-26 18:24:03,10,Open Short,Market,Trade,319.8,1.370,Market,0.0006,0.2628756,51281bf7
THETAUSDT,5fb7c4ee,2022-06-26 18:24:03,10,Open Short,Market,Trade,380,1.370,Market,0.0006,0.31236,4ec18f2b
THETAUSDT,4527d592,2022-06-26 18:23:09,10,Close Short,Market,Trade,754.4,1.375,Market,0.0006,0.62238,a730b588
THETAUSDT,241f9b05,2022-06-26 18:20:21,10,Open Short,Market,Trade,300.3,1.367,Market,0.0006,0.24630606,4ad08d35
THETAUSDT,241f9b05,2022-06-26 18:20:21,10,Open Short,Market,Trade,97.6,1.368,Market,0.0006,0.08011008,50f50ea0
THETAUSDT,241f9b05,2022-06-26 18:20:21,10,Open Short,Market,Trade,356.5,1.368,Market,0.0006,0.2926152,f8560d2c
GMTUSDT,3ee65667,2022-06-26 16:46:07,10,Close Short,Market,Trade,547,1.0028,Market,0.0006,0.32911896,a6b2f127
GMTUSDT,4f2e75fa,2022-06-26 16:40:27,10,Open Short,Market,Trade,1,0.9978,Market,0.0006,0.00059868,9d714921
GMTUSDT,e43c2533,2022-06-26 16:32:33,10,Open Short,Market,Trade,1,0.9949,Market,0.0006,0.00059694,3eb14f1a
GMTUSDT,18808fd1,2022-06-26 16:29:00,10,Open Short,Market,Trade,119,0.9958,Market,0.0006,0.07110012,961044a5
GMTUSDT,18808fd1,2022-06-26 16:29:00,10,Open Short,Market,Trade,326,0.9958,Market,0.0006,0.19477848,af0ad1e7
GMTUSDT,18808fd1,2022-06-26 16:29:00,10,Open Short,Market,Trade,100,0.9958,Market,0.0006,0.059748,228641a9
BTCUSDT,58b2c2ff,2022-06-26 12:58:48,5,Close Short,Limit,Trade,0.012,21450.00,21450.00,0.0001,0.02574,f9e13c9b
BTCUSDT,07690c24,2022-06-26 12:55:20,5,Open Short,Market,Trade,0.012,21563.00,Market,0.0006,0.1552536,568b2306
BTCUSDT,6c72faf9,2022-06-26 12:54:52,10,Close Long,Market,Trade,0.024,21588.50,Market,0.0006,0.3108744,f5cbde8d
BTCUSDT,6ba97a29,2022-06-26 12:29:52,10,Close Long,Market,Trade,0.001,21600.00,Market,0.0006,0.01296,491aa613
BTCUSDT,5f84f16a,2022-06-26 12:06:48,10,Open Long,Market,Trade,0.001,21720.00,Market,0.0006,0.013032,f5c57d70
BTCUSDT,4b3e1996,2022-06-26 12:03:19,10,Close Long,Market,Trade,0.024,21641.00,Market,0.0006,0.3116304,a66a7dc4
BTCUSDT,3027-Buy,2022-06-26 08:00:00,10,Open Long,--,Funding,0.048,21396.09,0.00,3.049e-05,0.03131361,0e370863
BTCUSDT,e4feac00,2022-06-26 06:40:08,10,Open Long,Market,Trade,0.048,21505.00,Market,0.0006,0.619344,acd96021
BTCUSDT,b47ace86,2022-06-25 15:56:23,5,Close Short,Limit,Trade,0.002,20963.00,21129.00,0.0006,0.0251556,dd0658f8
BTCUSDT,7f28eec4,2022-06-25 15:51:00,5,Open Short,Market,Trade,0.002,21062.50,Market,0.0006,0.025275,c3fd1a90
